index,id,time,link,message,like,share,comment
469,1282973728458676_1780849998671044,1533295915,https://www.facebook.com/CH3Thailand/videos/1780849998671044/,วันนี้พี่เทเค้าปลอมตัวมาสู้ด้วยนะ .... ตอนปลอมตัวก็เท่นะจ๊ะ #นักสู้เทวดา #จันทร์ถึงศุกร์ #ช่อง33 เจอกัน 19.05 น.  #ขอโดนเทซักทีสองที,265,2,1
470,1282973728458676_1780756265347084,1533294900,https://www.facebook.com/CH3Thailand/videos/1780756265347084/,#Connake EP.11 พบกับ นักเทคนิคการแพทย์ที่โด่งดังที่สุดในยุคนี้ เขาผู้นั้นคือ “หมอแล็บแพนด้า” เรื่องราวทั้งหมดจะเป็นอย่างไร มาดูกันค่ะ #mello รับชมรายการแบบเต็มๆ ได้ที่ลิงค์นี้ค่ะ https://bit.ly/2LTWVSf,118,3,0
471,1282973728458676_1780590072030370,1533294001,https://www.facebook.com/CH3Thailand/posts/1780590072030370,ถือเป็นเรื่องราวดีๆ หนทางสู่การเป็นอมตะของสาวๆ 🤣🤣 http://www.ch3thailand.com/news/scoop/13031 ติดตาม “เกมเสน่หา” (2 ตอนสุดท้าย) วันจันทร์-อังคารหน้า เวลา 20.20 น.ทางช่อง 33,2699,23,28
472,1282973728458676_1780588735363837,1533293100,https://www.facebook.com/CH3Thailand/posts/1780588735363837,มาทำความรู้จักกับสุดยอด “เพชร” ที่ทรงพลังและอำนาจเหนือทุกอัญมณี  http://www.ch3thailand.com/news/scoop/13032 ติดตาม กุหลาบตัดเพชร ทุกวันจันทร์ – ศุกร์ เวลา 11.30 น. ช่อง 28,217,2,0
473,1282973728458676_1780587795363931,1533292200,https://www.facebook.com/CH3Thailand/posts/1780587795363931,กว่าจะยิ่งใหญ่ได้ต้องมีคนสนับสนุน มาดูตัวละครหญิงเหล่านั้นกันค่ะ http://www.ch3thailand.com/news/scoop/13034 ติดตาม “กรุงเทพฯ ราตรี” เวลา  08.00 น. และ “บ่วงหงส์” เวลา 14.00 น. ทุกวันจันทร์ – ศุกร์ ทางช่อง 33  และ “กุหลาบราคี” เวลา 09.30 น. ทุกวันจันทร์ – ศุกร์ ทางช่อง 28,315,1,0
474,1282973728458676_1780767582012619,1533291379,https://www.facebook.com/CH3Thailand/posts/1780767582012619,ศุกร์ เสาร์ อาทิตย์นี้ คอหนังไม่ควรพลาด อย่าลืมเปิดช่อง 28 และช่อง13 กันด้วยนะจ๊ะ,132,4,0
475,1282973728458676_1780556825367028,1533291300,https://www.facebook.com/CH3Thailand/posts/1780556825367028,ถึงเวลาปิดฉากเส้นทางรัก เรื่องราวจะเป็นอย่างไร มาดูกันค่ะ http://www.ch3thailand.com/news/scoop/13041 ติดตาม เส้นสนกลรัก วันนี้ เวลา 20.00 น. ช่อง 33 เสนอเป็นตอนจบ ห้ามพลาด!,230,1,1
476,1282973728458676_1780599035362807,1533290401,https://www.facebook.com/CH3Thailand/videos/1780599035362807/,จากฉากต่อสู้ในตำนาน สู่อนิเมชั่นเกมสุดยิ่งใหญ่ การันตีด้วยซีรี่ส์มังกรหยกที่ดีที่สุด สู่เกมมือถืออันดับ 1 #มังกรหยกOrigin #จากซีรี่ส์มังกรหยกที่ดีที่สุดสู่เกมมือถืออันดับ1 #มังกรหยกOriginเปิดให้เล่นแล้ววันนี้ #ตัวละครเป๊ะเว้อร์ #สกิลอลังการ #เสียงพากย์พันธมิตร #Advertorial -------------------------------------------------------- iOS Download > https://goo.gl/hAqTdt Android Download > https://goo.gl/6GAevR FB > https://www.facebook.com/JDOTHAI/ Web > https://jdo.i3play.com,57,1,0
477,1282973728458676_1780586895364021,1533289500,https://www.facebook.com/CH3Thailand/posts/1780586895364021,ธัญญ่า จะเล่นบทไหนก็สวยแซ่บนะคะ เข้ามาดูกัน http://www.ch3thailand.com/news/scoop/13035 ติดตาม “กุหลาบตัดเพชร” เวลา 11.30 น.  และ “ตามรักคืนใจ” เวลาประมาณ 18.00 ทุกวันจันทร์ – ศุกร์  ทางช่อง 28,514,0,1
478,1282973728458676_1780577018698342,1533288600,https://www.facebook.com/CH3Thailand/posts/1780577018698342,มาทำความรู้จักตัวละครจากใต้ปีกปักษากันก่อนค่ะ http://www.ch3thailand.com/news/scoop/13038 ติดตาม “ใต้ปีกปักษา” เตรียมออกอากาศเป็นตอนแรกในวันที่ 4 ส.ค. นี้ และสามารถติดตามได้ทุกวันศุกร์ เวลา 20.00 น. และวันเสาร์-อาทิตย์ เวลา 20.15 น. ทางช่อง 33,315,0,0
